,label_cli,ProdutoId,Unnamed: 0,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
99,2,a0W3u00000AdGbzEAF,44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
100,3,a0W3u00000AdGbzEAF,44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
101,4,a0W3u00000AdGbzEAF,44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
102,5,a0W3u00000AdGbzEAF,44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
103,6,a0W3u00000AdGbzEAF,44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
104,0,a0W3u00000AdGcxEAF,47,20% sobre o que exceder a 100% do IRFM + 1,Come Cotas,Renda Fixa,50000.0,125760148.0,37997848975.0,168296021.0,530700181.0,42007585.0,4.0,Fundo de Renda Fixa,1
105,1,a0W3u00000AdGcxEAF,47,20% sobre o que exceder a 100% do IRFM + 1,Come Cotas,Renda Fixa,50000.0,125760148.0,37997848975.0,168296021.0,530700181.0,42007585.0,4.0,Fundo de Renda Fixa,1
106,2,a0W3u00000AdGcxEAF,47,20% sobre o que exceder a 100% do IRFM + 1,Come Cotas,Renda Fixa,50000.0,125760148.0,37997848975.0,168296021.0,530700181.0,42007585.0,4.0,Fundo de Renda Fixa,1
107,4,a0W3u00000AdGcxEAF,47,20% sobre o que exceder a 100% do IRFM + 1,Come Cotas,Renda Fixa,50000.0,125760148.0,37997848975.0,168296021.0,530700181.0,42007585.0,4.0,Fundo de Renda Fixa,1
108,5,a0W3u00000AdGcxEAF,47,20% sobre o que exceder a 100% do IRFM + 1,Come Cotas,Renda Fixa,50000.0,125760148.0,37997848975.0,168296021.0,530700181.0,42007585.0,4.0,Fundo de Renda Fixa,1
109,6,a0W3u00000AdGcxEAF,47,20% sobre o que exceder a 100% do IRFM + 1,Come Cotas,Renda Fixa,50000.0,125760148.0,37997848975.0,168296021.0,530700181.0,42007585.0,4.0,Fundo de Renda Fixa,1
110,0,a0W3u00000AdGdCEAV,48,Não,Come Cotas,Renda Fixa,50000.0,-2601701.0,66474822496.0,50665849.0,6067247921.0,53281413.0,5.0,FIC de Fundo de Renda Fixa,0
111,2,a0W3u00000AdGdCEAV,48,Não,Come Cotas,Renda Fixa,50000.0,-2601701.0,66474822496.0,50665849.0,6067247921.0,53281413.0,5.0,FIC de Fundo de Renda Fixa,0
112,4,a0W3u00000AdGdCEAV,48,Não,Come Cotas,Renda Fixa,50000.0,-2601701.0,66474822496.0,50665849.0,6067247921.0,53281413.0,5.0,FIC de Fundo de Renda Fixa,0
113,5,a0W3u00000AdGdCEAV,48,Não,Come Cotas,Renda Fixa,50000.0,-2601701.0,66474822496.0,50665849.0,6067247921.0,53281413.0,5.0,FIC de Fundo de Renda Fixa,0
114,6,a0W3u00000AdGdCEAV,48,Não,Come Cotas,Renda Fixa,50000.0,-2601701.0,66474822496.0,50665849.0,6067247921.0,53281413.0,5.0,FIC de Fundo de Renda Fixa,0
115,0,a0W3u00000AdGdREAV,49,20% sobre o que exceder a 100% do IMAB-5,Come Cotas,Renda Fixa,5000.0,94918651.0,53387371651.0,107003106.0,4066620578.0,1197083.0,5.0,Fundo de Renda Fixa,0
116,2,a0W3u00000AdGdREAV,49,20% sobre o que exceder a 100% do IMAB-5,Come Cotas,Renda Fixa,5000.0,94918651.0,53387371651.0,107003106.0,4066620578.0,1197083.0,5.0,Fundo de Renda Fixa,0
117,3,a0W3u00000AdGdREAV,49,20% sobre o que exceder a 100% do IMAB-5,Come Cotas,Renda Fixa,5000.0,94918651.0,53387371651.0,107003106.0,4066620578.0,1197083.0,5.0,Fundo de Renda Fixa,0
118,4,a0W3u00000AdGdREAV,49,20% sobre o que exceder a 100% do IMAB-5,Come Cotas,Renda Fixa,5000.0,94918651.0,53387371651.0,107003106.0,4066620578.0,1197083.0,5.0,Fundo de Renda Fixa,0
119,5,a0W3u00000AdGdREAV,49,20% sobre o que exceder a 100% do IMAB-5,Come Cotas,Renda Fixa,5000.0,94918651.0,53387371651.0,107003106.0,4066620578.0,1197083.0,5.0,Fundo de Renda Fixa,0
